order;name;price
1;Belegtes Brötchen mit Käse;2,70
2;Belegtes Brötchen mit Salami;2,70
3;Belegtes Brötchen mit Fleischwurst;2,70
4;Belegtes Brötchen mit Schinken;2,70
5;Belegtes Brötchen mit Ei;2,70
6;Belegtes Brötchen mit Leberwurst;2,70
7;Belegtes Brötchen mit Frischkäse;2,70
8;Belegtes Brötchen mit Rohrschinken;3,00
9;Belegtes Brötchen mit Brie;3,00
10;Belegtes Brötchen mit Putenbrust;3,00
11;Belegtes Brötchen mit Mett;3,00
12;Belegtes Brötchen mit Frikadelle;3,70
13;Belegtes Brötchen mit Thunfisch;3,50
14;Belegtes Brötchen mit Lachs;3,90
15;Belegtes Brötchen mit Schnitzel;4,20
16;Belegtes Brötchen mit Mozzarella;3,30
17;Belegtes Brötchen mit Rührei;3,30
18;Belegtes Baguette mit Käse;4,00
19;Belegtes Baguette mit Salami;4,00
20;Belegtes Baguette mit Fleischwurst;4,00
21;Belegtes Baguette mit Schinken;4,00
22;Belegtes Baguette mit Ei;4,00
23;Belegtes Baguette mit Leberwurst;4,00
24;Belegtes Baguette mit Mett;4,00
25;Belegtes Baguette mit Frischkäse;4,00
26;Belegtes Baguette mit Rohrschinken;4,40
27;Belegtes Baguette mit Brie;4,40
28;Belegtes Baguette mit Pute;4,40
29;Belegtes Baguette mit Frikadelle;4,50
30;Belegtes Baguette mit Thunfisch;4,50
31;Belegtes Baguette mit Mozzarella;4,50
32;Belegtes Baguette mit Rührei;4,50
33;Belegtes Baguette mit Lachs;5,30
34;Belegtes Baguette mit Schnitzel;5,30
